#,Title,Author,Genre
1,"The Taming of the Shrew","William Shakespeare","Plays"
2,"Romeo and Juliet","William Shakespeare","Plays"
3,"Plays: 1","Patrick Marber","Plays"
4,"A Thousand Mornings ","Mary Oliver","Poetry"
5,"The Beautifull Cassandra","Jane Austen","Classic"
6,"Emma","Jane Austen","Classic"
7,"Lady Susan/The Watsons/Sanditon","Jane Austen","Classic"
8,"Pride and Prejudice","Jane Austen","Classic"
9,"Sense and Sensibility","Jane Austen","Classic"
10,"Little Women","Louisa May Alcott","Classic"
11,"Fahrenheit 451","Ray Bradbury","Classic"
12,"Breakfast At Tiffany's","Truman Capote","Classic"
13,"Save Me The Waltz","Zelda Fitzgerald","Classic"
14,"David Copperfield","Charles Dickens","Classic"
15,"Le'Morte d'Arthur","Sir Thomas Malory","Classic"
16,"Moby-Dick","Herman Melville","Classic"
17,"Gone With The Wind","Margaret Mitchell","Classic"
18,"The Ramayana","R.K. Narayan","Classic"
19,"Sundial: An Epic of Old Mali","D.T. Niane","Classic"
20,"1984","George Orwell","Classic"
21,"Anna Karenina","Leo Tolstoy ","Classic"
22,"The Catcher in the Rye","J.D. Salinger","Classic"
23,"Remembering Laughter ","Wallace Stegner","Classic"
24,"East of Eden","John Steinbeck","Classic"
25,"Slaughterhouse-Five","Kurt Vonnegut","Classic"
26,"American Born Chinese","Gene Luen Yang","Graphic Novel"
27,"The Magic Half","Ann Barrows","Young Adult"
28,"The Perks of Being A Wallflower","Stephen Chobsky","Young Adult"
29,"Looking for Alaska","John Green","Young Adult"
30,"The Giver","Lois Lowry","Young Adult"
31,"They Both Die At The End","Adam Silvera","Young Adult"
32,"Alias Grace","Margaret Atwood","Historical Fiction"
33,"Sex and The City","Candace Bushnell","Romance"
34,"Love The One You're With","Emily Giffin","Romance"
35,"Something Borrowed","Emily Giffin","Romance"
36,"Beach Read","Emily Henry","Romance"
37,"People We Meet On Vacation","Emily Henry","Romance"
38,"Book Lovers","Emily Henry","Romance"
39,"The Kiss Quotient","Helen Hoang","Romance"
40,"The Bride Test","Helen Hoang","Romance"
41,"The Heart Principle","Helen Hoang","Romance"
42,"Romancing Mr. Bridgerton","Julia Quinn","Romance"
43,"Normal People","Sally Rooney","Romance"
44,"Conversations with Friends","Sally Rooney","Romance"
45,"Beautiful World, Where Are You","Sally Rooney","Romance"
46,"Mr. Salary","Sally Rooney","Romance"
47,"The Notebook","Nicholas Sparks","Romance"
48,"Safe Haven","Nicholas Sparks","Romance"
49,"A Walk to Remember","Nicholas Sparks","Romance"
50,"The Hating Game","Sally Thorne","Romance"
51,"Gone Girl ","Gillian Flynn","Horror/Suspense/Thriller"
52,"Sharp Objects","Gillian Flynn","Horror/Suspense/Thriller"
53,"Carrie","Stephen King","Horror/Suspense/Thriller"
54,"Different Seasons","Stephen King","Horror/Suspense/Thriller"
55,"The Shining","Stephen King","Horror/Suspense/Thriller"
56,"IT","Stephen King","Horror/Suspense/Thriller"
57,"The Outsider","Stephen King","Horror/Suspense/Thriller"
58,"The Silent Patient","Alex Michaelides","Horror/Suspense/Thriller"
59,"I'm Thinking of Ending Things","Ian Reid","Horror/Suspense/Thriller"
60,"Lovely Bones","Alice Sebold","Horror/Suspense/Thriller"
61,"A Simple Favor","Darcey Bell","Mystery"
62,"The Vanishing Half","Brit Bennett","Mystery"
63,"A White Bird In A Blizzard","Laura Kasischke","Mystery"
64,"Everything I Never Told You","Celeste Ng","Mystery"
65,"Little Fires Everywhere","Celeste Ng","Mystery"
66,"Where The Crawdads Sing","Delia Owens","Mystery"
67,"Where'd You Go Bernadette","Maria Semple","Mystery"
68,"Everyone You Hate Is Going To Die","Daniel Sloss","Humor"
69,"Me Talk Pretty One Day ","David Sedaris","Humor"
70,"Calypso","David Sedaris","Humor"
71,"The Big Short","Michael Lewis","True Crime"
72,"Bad Blood","John Carreyou","True Crime"
73,"Diana: Her True Story ","Andrew Morton","Biography"
74,"The General in His Labyrinth","Gabriel Garcia Marquez","Biography"
75,"You Are Beautiful and You Are Alone","Jennifer Otter Bickerdike","Biography"
76,"Steve Jobs ","Walter Isaacson","Biography"
77,"Sapiens: A Brief History of Humankind","Yuval Noah Harari","History"
78,"Secret Lives of the Tsars","Michael Farquhar","History"
79,"A Treasury of Royal Scandals","Michael Farquhar","History"
80,"Fasting Girls","Joan Jacobs Brumberg","History"
81,"The Tudors","G.J. Meyer","History"
82,"Becoming Free Indeed","Jinger Duggar Vuolo","Memoir"
83,"The Anthropocene Reviewed","John Green","Memoir"
84,"On Writing","Stephen King","Memoir"
85,"The Intimate Diary of Linda Lovelace","Linda Lovelace","Memoir"
86,"Elvis and Me","Priscilla Beaulieu Presley","Memoir"
87,"A Child Called "It"","David Pelzer","Memoir"
88,"Prozac Nation","Elizabeth Wurtzel","Memoir"
89,"The Year of Magical Thinking ","Joan Didion","Memoir"
90,"The Bell Jar","Sylvia Plath","Memoir"
91,"Girl, Interrupted","Susanna Kaysen","Memoir"
92,"Educated","Tara Westover","Memoir"
93,"I'm Glad My Mom Died","Jennette McCurdy","Memoir"
94,"The Cheater's Guide to Love","Junot Diaz","Short Story"
95,"Why Men Love Bitches","Sherry Argov","Self-Help"
96,"You Can Read Anyone","David J. Liberman","Self-Help"
97,"Norse Mythology","Neil Gaiman","Mythology"
98,"Never Let Me Go","Kazuo Ishiguro","Science Fiction"
99,"The Midnight Library","Matt Haig","Fantasy"
100,"Nothing to See Here","Kevin Wilson","Fantasy"
101,"The Princess Bride","William Goldman","Fantasy"
102,"Trigger Warning","Neil Gaiman","Fantasy"
103,"Good Omens","Terry Pratchett & Neil Gaiman","Fantasy"
104,"The Lost Daughter","Elena Ferrante","Fiction"
105,"On Chesil Beach","Ian McEwan","Fiction"
106,"Valley of the Dolls","Jacqueline Susann","Fiction"
107,"Fight Club","Chuck Palahniuk","Fiction"
108,"The Golden Notebook","Doris Lessing","Fiction"
109,"The Rules of Attraction","Brett Easton Ellis","Fiction"
110,"About A Boy","Nick Hornby","Fiction"
111,"The Godfather","Mario Puzo","Fiction"
112,"My Year of Rest and Relaxation","Otessa Moshfegh","Fiction"
113,"My Sister's Keeper","Jodi Picoult","Fiction"
114,"The Remains of the Day","Kazuo Ishiguro","Fiction"
115,"Sleepwalking","Meg Wolitzer","Fiction"
116,"Human Acts","Han Kang","Fiction"
117,"Kim Jiyoung, Born 1982","Cho Nam-Joo","Fiction"
118,"The Vegetarian","Han Kang","Fiction"
119,"A Very Nice Girl","Imogen Crimp","Fiction"
120,"The House of Tomorrow ","Peter Bognanni","Fiction"
121,"The 7 Habits of Highly Effective People","Stephen R. Covey","Psychology"
122,"How To Win Friends & Influence People","Dale Carnegie","Psychology"
123,"How to Enjoy Your Life and Your Job","Dale Carnegie","Psychology"
124,"Men Are From Mars, Women Are From Venus","John Gray, Ph.D.","Psychology"
125,"Mars and Venus in Touch","John Gray, Ph.D.","Psychology"
126,"Mars and Venus on A Date","John Gray, Ph.D.","Psychology"
127,"Practical Miracles for Mars & Venus","John Gray, Ph.D.","Psychology"
128,"The Road Less Traveled","M. Scott Peck, M.D.","Psychology"
129,"People of the Lie","M. Scott Peck, M.D.","Psychology"
130,"A World Waiting To Be Born","M. Scott Peck, M.D.","Psychology"
131,"Abounding Grace","M. Scott Peck, M.D.","Psychology"
132,"Maps of Meaning","Jordan B. Peterson","Psychology"
133,"12 Rules for Life","Jordan B. Peterson","Psychology"
134,"Beyond Order","Jordan B. Peterson","Psychology"
135,"The 48 Laws of Power","Robert Greene","Philosophy"
136,"The Four Loves","C.S. Lewis","Philosophy"
137,"Man's Search for Meaning","Viktor E. Frankl","Philosophy"
138,"Love","Leo Buscaglia","Philosophy"
139,"Meditations","Marcus Aurelius","Philosophy"
140,"Confessions","St. Augustine","Philosophy"
141,"The Book: On the Taboo Against Knowing Who You Are","Alan Watts","Philosophy"
142,"The Art of War","Sun Tzu","Philosophy"
143,"The Prince ","Niccolo Machiavelli","Philosophy"
144,"Essentialism","Greg McKeown","Philosophy"
145,"Prisons We Choose To Live Inside","Doris Lessing","Philosophy"
146,"The Art of Seduction","Robert Greene","Philosophy"
147,"The 33 Strategies of War","Robert Greene","Philosophy"
148,"Mastery","Robert Greene","Philosophy"
149,"The Laws of Human Nature","Robert Greene","Philosophy"
